Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.8635714285714285,0.8995290423861853,0.8185714285714286,0.8571428571428571,0.9227738662131519
Random Forest,0.9188095238095239,0.9358275520317145,0.8992857142857142,0.9171928120446818,0.9735787131519273
XGBoost,0.9208333333333333,0.9354520817935452,0.9040476190476191,0.9194817774548977,0.9787204081632652
